System,Description,Year,ROM Name,Players,ctrlType,Other Input,Buttons,Vertical,Manufacturers,Player Legends 2,Retro Arcade 2 Elites,Other CoinOps
arcade,720 Degrees,1988,720,4,analog,only_buttons,2,HORIZONTAL,Atari Games,No,No,Yes
arcade,1941: Counter Attack,1983,1941,2,8 way,none,2,VERTICAL,Capcom,No,Yes,Maybe
arcade,1942,1990,1942,2,8 way,none,2,VERTICAL,Capcom,Yes,Yes,Maybe
arcade,1943 1: The Battle of Midway,1984,1943,2,8 way,none,2,VERTICAL,Capcom,Yes,Yes,Maybe
arcade,1944: The Loop Master,1987,1944,2,8 way,none,2,HORIZONTAL,Eighting / Raizing,No,No,Yes
arcade,1943 Kai: Midway Kaisen,1987,1943kai,2,8 way,none,2,VERTICAL,Capcom,Yes,Yes,Maybe
arcade,19XX: The War Against Destiny,2000,19xx,2,8 way,none,2,VERTICAL,Capcom,Yes,Yes,Maybe
arcade,2020 Super Baseball,2000,2020bb,2,8 way,none,4,HORIZONTAL NEOGEO,SNK / Pallas,No,No,Yes
arcade,003 Wonders,1996,3wonders,2,8 way,none,3,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,After Burner 2,1995,aburner2,4,analog,none,2,HORIZONTAL,SEGA,No,Yes,Maybe
arcade,Act-Fancer Cybernetick Hyper Weapon,1991,actfancr,2,8 way,none,2,HORIZONTAL,Data East,No,Yes,Maybe
arcade,Aero Fighters 1,1993,aerofgt,2,8 way,none,2,VERTICAL,Video System Co. / Video System,No,No,Yes
arcade,Air Assault,1996,airass,4,8 way,none,3,VERTICAL,Irem,No,No,Yes
arcade,Airwolf,1991,airwolf,2,8 way,none,2,HORIZONTAL,Kyugo,No,No,Yes
arcade,Ajax,1986,ajax,1,8 way,stick / dial,3,VERTICAL,Konami,No,Yes,Maybe
arcade,Akai Katana,1983,akatana,1,8 way,none,3,HORIZONTAL,Cave / Rising Star Games,No,No,Yes
arcade,Aliens,1990,aliens,1,8 way,pedal / paddle,2,HORIZONTAL,Konami,No,No,Yes
arcade,Alien Syndrome,1987,aliensyn,1,8 way,pedal / dial,3,HORIZONTAL,SEGA,Yes,Yes,Maybe
arcade,Alpha Mission 2,1985,alpham2,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Alpine Ski,1988,alpine,4,4 way,pedal / positional / stick / trackball,1,VERTICAL,Taito / Pacific Kougyou,No,No,Yes
arcade,Altered Beast (set 8),1994,altbeast,2,8 way,pedal / paddle,3,HORIZONTAL,SEGA,No,No,Yes
arcade,Amidar,1991,amidar,2,4 way,none,1,VERTICAL,Konami,No,No,Yes
arcade,Aggressors of Dark Kombat,1984,aodk,2,8 way,none,4,HORIZONTAL NEOGEO,ADK / SNK,No,No,Yes
arcade,Art of Fighting 1,1989,aof,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,Yes,Yes,Maybe
arcade,Art of Fighting 2,1986,aof2,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Art of Fighting 3: The Path of the Warrior,1981,aof3,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,APB: All Points Bulletin,1992,apb,2,analog,none,2,VERTICAL,Atari Games / Atari,No,No,Yes
arcade,Arch Rivals,1994,archrivl,2,analog,none,2,HORIZONTAL,Bally Midway,No,Yes,Maybe
arcade,Arkanoid 1,1995,arkanoid,2,analog,none,1,VERTICAL,Taito,No,Yes,Maybe
arcade,Arkanoid 2: Revenge of DOH,1996,arknoid2,4,analog,none,1,VERTICAL,Taito,No,No,Yes
arcade,Armored Warriors,1987,armwar,1,8 way,stick,3,HORIZONTAL,Capcom,No,No,Yes
arcade,Assault,1987,assault,1,twin stick,stick,1,VERTICAL,Namco,Yes,Yes,Maybe
arcade,Asteroids 2 Deluxe,2006,astdelux,unknown,buttons only,unknown,5,HORIZONTAL,Atari / Dave Shepperd,No,Yes,Maybe
arcade,Asterix,2001,asterix,2,8 way,none,2,HORIZONTAL,Konami,No,No,Yes
arcade,Asteroids 1,1994,asteroid,2,buttons only,none,5,HORIZONTAL,Atari,No,Yes,Maybe
arcade,"Alien Storm (World, 2 Players)",1993,astorm,2,8 way,none,3,HORIZONTAL,SEGA,No,No,Yes
arcade,"Astyanax, The",1996,astyanax,2,8 way,none,3,HORIZONTAL,Jaleco,No,No,Yes
arcade,Asura Blade: Sword of Dynasty,1990,asurabld,2,8 way,none,3,HORIZONTAL,Fuuki,No,No,Yes
arcade,Asura Buster: Eternal Warriors,1990,asurabus,2,8 way,none,3,HORIZONTAL,Fuuki,No,No,Yes
arcade,Tetris,1996,atetris,2,4 way,none,1,HORIZONTAL,Atari Games / bootleg,No,No,Yes
arcade,Athena,1992,athena,2,8 way,stick,2,HORIZONTAL,SNK,No,No,Yes
arcade,Avengers,1987,avengers,2,8 way,none,2,VERTICAL,Capcom,No,No,Yes
arcade,Alien vs. Predator,1987,avsp,2,8 way,none,3,HORIZONTAL,Capcom,No,Yes,Maybe
arcade,Bad Dudes vs. Dragonninja,2010,baddudes,2,8 way,unknown,2,HORIZONTAL,Data East,Yes,Yes,Maybe
arcade,Bagman,1986,bagman,2,4 way,none,1,VERTICAL,Valadon Automation,No,No,Yes
arcade,Bakutotsu Kijuutei,1994,bakutotu,2,8 way,none,3,HORIZONTAL,Namco,No,No,Yes
arcade,Bank Panic,1990,bankp,2,4 way,none,3,HORIZONTAL,Sanritsu / SEGA,Yes,Yes,Maybe
arcade,Baraduke,1987,baraduke,2,8 way,none,1,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,Battle Circuit,1994,batcir,3,8 way,none,2,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Armed Police Batrider (Europe),1993,batrider,2,8 way,stick,3,VERTICAL,Raizing / Eighting,No,No,Yes
arcade,Batsugun: Special Version,1990,batsugunsp,2,8 way,none,3,VERTICAL,Toaplan,Yes,Yes,Maybe
arcade,Battle Rangers,1994,battlera,2,8 way,none,3,HORIZONTAL,Data East,No,No,Yes
arcade,"Bay Route (set 3, World)",1991,bayroute,2,8 way,none,3,HORIZONTAL,Sunsoft / SEGA,No,Yes,Maybe
arcade,Battle Bakraid: Unlimited Version (USA),1982,bbakraid,2,8 way,none,3,VERTICAL,Eighting,Yes,Yes,Maybe
arcade,Bomber Man World,1988,bbmanw,2,4 way,none,2,HORIZONTAL,Irem / Hudson,Yes,Yes,Maybe
arcade,Battle Chopper,1976,bchopper,2,8 way,none,4,HORIZONTAL,Irem,No,No,Yes
arcade,Berzerk,1983,berzerk,2,8 way,none,1,HORIZONTAL,"Stern Electronics / Stern Electronics, Inc.",No,No,Yes
arcade,Battle Garegga (Europe),1989,bgaregga,2,8 way,trackball,3,VERTICAL,Raizing / Eighting,No,No,Yes
arcade,Bionic Commando,1982,bionicc,2,8 way,none,2,HORIZONTAL,Capcom,Yes,Yes,Maybe
arcade,Bio-ship Paladin,1992,bioship,2,8 way,none,2,HORIZONTAL,UPL / American Sammy license,No,No,Yes
arcade,Blue's Journey,1988,bjourney,2,8 way,none,4,HORIZONTAL NEOGEO,Alpha Denshi Co. / ADK,No,No,Yes
arcade,Blazing Star,1982,blazstar,1,8 way,none,4,HORIZONTAL NEOGEO,Yumekobo / SNK,No,No,Yes
arcade,NFL Blitz 1997,1988,blitz,1,8 way,stick,3,HORIZONTAL,Midway Games,No,No,Yes
arcade,NFL Blitz 2000 Gold Edition,1990,blitz2k,1,8 way,dial,3,HORIZONTAL,Midway Games,No,No,Yes
arcade,NFL Blitz 1999,1983,blitz99,2,8 way,none,3,HORIZONTAL,Midway Games,No,No,Yes
arcade,Black Tiger,1991,blktiger,4,8 way,none,2,HORIZONTAL,Capcom,No,No,Yes
arcade,Block Hole,1992,blockhl,4,4 way,dial,3,HORIZONTAL,Konami,No,No,Yes
arcade,Block Out,1989,blockout,2,8 way,none,4,HORIZONTAL,Technos Japan / California Dreams,No,No,Yes
arcade,Blood Bros.,1992,bloodbro,2,8 way,trackball,3,HORIZONTAL,TAD Corporation / Tad Corporation,No,No,Yes
arcade,Blade Master,1989,bmaster,2,8 way,stick,2,HORIZONTAL,Irem,No,No,Yes
arcade,Bump 'n' Jump,1996,bnj,2,8 way,lightgun,1,VERTICAL,Data East,No,No,Yes
arcade,Bonanza Bros,1995,bnzabros,2,8 way,lightgun,3,HORIZONTAL,SEGA,No,No,Yes
arcade,Bomb Jack,1986,bombjack,2,8 way,none,1,VERTICAL,Tehkan / Tehkan Ltd.,No,No,Yes
arcade,Bonze Adventure,1986,bonzeadv,2,8 way,dial,2,HORIZONTAL,Taito,No,No,Yes
arcade,Boogie Wings,1997,boogwing,4,8 way,dial,3,HORIZONTAL,Data East,No,No,Yes
arcade,Bosconian: Star Destroyer,1987,bosco,2,8 way,dial,1,HORIZONTAL,Namco,Yes,Yes,Maybe
arcade,B.Rap Boys,1985,brapboys,1,8 way,none,2,HORIZONTAL,Kaneko,No,No,Yes
arcade,Breakers Revenge,1988,breakrev,2,8 way,none,4,HORIZONTAL NEOGEO,Visco / SNK,No,No,Yes
arcade,Break Thru,1998,brkthru,2,8 way,none,2,HORIZONTAL,Data East,Yes,Yes,Maybe
arcade,Baseball Stars 2,1980,bstars2,2,8 way,none,4,HORIZONTAL NEOGEO,SNK,No,No,Yes
arcade,Burger Time,1981,btime,2,4 way,none,1,VERTICAL,Data East,No,No,Yes
arcade,Battletoads,1994,btoads,3,8 way,none,2,HORIZONTAL,Rare / Electronic Arts,Yes,Yes,Maybe
