System,ROM Name,Description,ISVERTICAL,FW Reborn,LEGENDS,FW Atarashii,INSERT COIN,FOCUS,FW Atarashii Gems,FW Atarashii Mini,FW Atarashii Micro,Vertical,Year,numberPlayers,ctrlType,Buttons,Simple Manufacturer,Joystick Input,Other Input,Manufacturers
arcade,720,720 Degrees,x,x,x,x,x,,,,,HORIZONTAL,1986,1,analog,2,Atari,,stick / dial,Atari Games
arcade,1941,1941: Counter Attack,x,x,x,x,x,x,x,x,x,VERTICAL,1990,2,8 way,2,Capcom,joy8way,,Capcom
arcade,1942,1942,x,x,x,x,x,,x,x,,VERTICAL,1984,2,8 way,2,Capcom,joy8way,,Capcom
arcade,1943,1943 1: The Battle of Midway,x,x,x,x,x,x,MINI,x,x,VERTICAL,1987,2,8 way,2,Capcom,joy8way,,Capcom
arcade,1944,1944: The Loop Master,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,2000,2,8 way,2,Capcom,joy8way,,Eighting / Raizing
arcade,1943kai,1943 Kai: Midway Kaisen,x,x,x,x,x,,,,,VERTICAL,1987,2,8 way,2,Capcom,joy8way,,Capcom
arcade,19xx,19XX: The War Against Destiny,x,x,x,x,x,x,MINI,x,x,VERTICAL,1996,2,8 way,2,Capcom,joy8way,,Capcom
arcade,2020bb,2020 Super Baseball,,x,x,x,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK / Pallas
arcade,3wonders,003 Wonders,x,x,x,x,x,,,,,HORIZONTAL,1991,2,8 way,3,Capcom,joy8way,,Capcom
arcade,aburner2,After Burner 2,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,1,analog,2,SEGA,,stick,SEGA
arcade,actfancr,Act-Fancer Cybernetick Hyper Weapon,x,x,x,x,x,,,,,HORIZONTAL,1989,2,8 way,2,Data East,joy8way,,Data East
arcade,aerofgt,Aero Fighters 1,x,x,x,x,,,,,,VERTICAL,1992,2,8 way,2,Other,joy8way,,Video System Co. / Video System
arcade,airass,Air Assault,x,x,x,x,,,,,,VERTICAL,1993,2,8 way,3,Irem,joy8way,,Irem
arcade,airwolf,Airwolf,,x,x,x,,,,,,HORIZONTAL,1987,2,8 way,2,Other,joy8way,,Kyugo
arcade,ajax,Ajax,x,x,x,x,,,,,,VERTICAL,1987,2,8 way,3,Konami,joy8way,,Konami
arcade,akatana,Akai Katana,x,x,x,x,x,,,,,HORIZONTAL,2008,2,8 way,3,Cave,joy8way,,Cave / Rising Star Games
arcade,aliens,Aliens,x,x,x,x,x,x,x,x,,HORIZONTAL,1990,2,8 way,2,Konami,joy8way,,Konami
arcade,aliensyn,Alien Syndrome,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,3,SEGA,joy8way,,SEGA
arcade,alpham2,Alpha Mission 2,,x,x,x,,,,,,HORIZONTAL NEOGEO,1991,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,alpine,Alpine Ski,x,x,x,x,,,,,,VERTICAL,1982,2,4 way,1,Taito,joy2way,,Taito / Pacific Kougyou
arcade,altbeast,Altered Beast (set 8),x,x,x,x,x,x,x,x,x,HORIZONTAL,1988,2,8 way,3,SEGA,joy8way,,SEGA
arcade,amidar,Amidar,x,x,x,x,,,,,,VERTICAL,1982,2,4 way,1,Konami,joy4way,,Konami
arcade,aodk,Aggressors of Dark Kombat,,,x,x,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,ADK / SNK
arcade,aof,Art of Fighting 1,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,1992,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,aof2,Art of Fighting 2,,,x,x,,,,,,HORIZONTAL NEOGEO,1994,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,aof3,Art of Fighting 3: The Path of the Warrior,x,,x,x,,,,,,HORIZONTAL NEOGEO,1996,2,8 way,4,Neo Geo,joy8way,,SNK
arcade,apb,APB: All Points Bulletin,x,x,x,x,,,,,,VERTICAL,1987,1,analog,2,Atari,,pedal / dial,Atari Games / Atari
arcade,archrivl,Arch Rivals,,x,x,x,,,,,,HORIZONTAL,1989,2,analog,2,Midway,,stick,Bally Midway
arcade,arkanoid,Arkanoid 1,x,x,x,x,,,,,,VERTICAL,1986,2,analog,1,Taito,,dial,Taito
arcade,arknoid2,Arkanoid 2: Revenge of DOH,x,x,x,x,x,x,x,x,,VERTICAL,1987,2,analog,1,Taito,,dial,Taito
arcade,armwar,Armored Warriors,x,x,x,x,x,,x,x,,HORIZONTAL,1994,3,8 way,3,Capcom,joy8way,,Capcom
arcade,assault,Assault,x,x,x,x,,,,,,VERTICAL,1988,2,twin stick,1,Namco,doublejoy4way,,Namco
arcade,astdelux,Asteroids 2 Deluxe,x,x,x,x,x,,,,,HORIZONTAL,1980,1,buttons only,5,Atari,,only_buttons,Atari / Dave Shepperd
arcade,asterix,Asterix,,x,x,x,,,,,,HORIZONTAL,1992,2,8 way,2,Konami,joy8way,,Konami
arcade,asteroid,Asteroids 1,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1979,1,buttons only,5,Atari,,only_buttons,Atari
arcade,astorm,"Alien Storm (World, 2 Players)",x,x,x,x,x,,x,x,,HORIZONTAL,1990,2,8 way,3,SEGA,joy8way,,SEGA
arcade,astyanax,"Astyanax, The",,x,x,x,,,,,,HORIZONTAL,1989,2,8 way,3,Other,joy8way,,Jaleco
arcade,asurabld,Asura Blade: Sword of Dynasty,x,,x,x,x,,,,,HORIZONTAL,1998,2,8 way,3,Other,joy8way,,Fuuki
arcade,asurabus,Asura Buster: Eternal Warriors,x,,x,x,x,,,,,HORIZONTAL,2001,2,8 way,3,Other,joy8way,,Fuuki
arcade,atetris,Tetris,x,x,x,x,x,,,,,HORIZONTAL,1988,2,4 way,1,Atari,joy3 (half4)way,,Atari Games / bootleg
arcade,athena,Athena,x,x,x,x,x,,,,,HORIZONTAL,1986,2,8 way,2,SNK,joy8way,,SNK
arcade,avengers,Avengers,x,x,x,x,x,x,x,x,x,VERTICAL,1987,2,8 way,2,Capcom,joy8way,,Capcom
arcade,avsp,Alien vs. Predator,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1994,3,8 way,3,Capcom,joy8way,,Capcom
arcade,baddudes,Bad Dudes vs. Dragonninja,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1988,2,8 way,2,Data East,joy8way,,Data East
arcade,bagman,Bagman,x,x,x,x,,,,,,VERTICAL,1982,2,4 way,1,Other,joy4way,,Valadon Automation
arcade,bakutotu,Bakutotsu Kijuutei,,,x,x,,,,,,HORIZONTAL,1988,2,8 way,3,Namco,joy8way,,Namco
arcade,bankp,Bank Panic,x,x,x,x,x,,x,,,HORIZONTAL,1984,2,4 way,3,SEGA,joy2way,,Sanritsu / SEGA
arcade,baraduke,Baraduke,,,x,x,,,,,,HORIZONTAL,1985,2,8 way,1,Namco,joy8way,,Namco
arcade,batcir,Battle Circuit,x,x,x,x,x,,,,,HORIZONTAL,1997,4,8 way,2,Capcom,joy8way,,Capcom
arcade,batrider,Armed Police Batrider (Europe),x,x,x,x,x,,,,,VERTICAL,1998,2,8 way,3,Raizing,joy8way,,Raizing / Eighting
arcade,batsugunsp,Batsugun: Special Version,x,x,x,x,x,,x,x,,VERTICAL,1993,2,8 way,3,Toaplan,joy8way,,Toaplan
arcade,battlera,Battle Rangers,,x,x,x,,,,,,HORIZONTAL,1988,2,8 way,3,Data East,joy8way,,Data East
arcade,bayroute,"Bay Route (set 3, World)",,x,x,x,,,,,,HORIZONTAL,1989,2,8 way,3,SEGA,joy8way,,Sunsoft / SEGA
arcade,bbakraid,Battle Bakraid: Unlimited Version (USA),x,x,x,x,x,,,,,VERTICAL,1999,2,8 way,3,Raizing,joy8way,,Eighting
arcade,bbmanw,Bomber Man World,,x,x,x,,,,,,HORIZONTAL,1992,4,4 way,2,Irem,joy4way,,Irem / Hudson
arcade,bchopper,Battle Chopper,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,4,Irem,joy8way,,Irem
arcade,berzerk,Berzerk,x,x,x,x,x,,,,,HORIZONTAL,1980,2,8 way,1,Other,joy8way,,"Stern Electronics / Stern Electronics, Inc."
arcade,bgaregga,Battle Garegga (Europe),x,x,x,x,x,,x,x,,VERTICAL,1996,2,8 way,3,Raizing,joy8way,,Raizing / Eighting
arcade,bionicc,Bionic Commando,x,x,x,x,x,x,MINI,x,x,HORIZONTAL,1987,2,8 way,2,Capcom,joy8way,,Capcom
arcade,bioship,Bio-ship Paladin,,,x,x,,,,,,HORIZONTAL,1990,2,8 way,2,Other,joy8way,,UPL / American Sammy license
arcade,bjourney,Blue's Journey,,,x,x,,,,,,HORIZONTAL NEOGEO,1990,2,8 way,4,Neo Geo,joy8way,,Alpha Denshi Co. / ADK
arcade,blazstar,Blazing Star,x,x,x,x,x,,,,,HORIZONTAL NEOGEO,1998,2,8 way,4,Neo Geo,joy8way,,Yumekobo / SNK
arcade,blitz,NFL Blitz 1997,,x,x,x,,,,,,HORIZONTAL,1997,2,8 way,3,Midway,joy8way,stick,Midway Games
arcade,blitz2k,NFL Blitz 2000 Gold Edition,x,x,x,x,x,,,,,HORIZONTAL,1999,4,8 way,3,Midway,joy8way,stick,Midway Games
